"Variance","Skewness","Curtosis","Entropy","Class"
"1332",0.22432,-0.52147,-0.40386,1.2017,1
"916",-1.749,-6.332,6.0987,0.14266,1
"945",-2.121,-0.05588,1.949,1.353,1
"267",-0.016103,9.7484,0.15394,-1.6134,0
"490",2.8237,2.8597,0.19678,0.57196,0
"898",-0.28696,3.1784,-3.5767,-3.1896,1
"1295",-7.0364,9.2931,0.16594,-4.5396,1
"936",-1.8448,1.254,0.27218,-1.0728,1
"1198",-0.82053,0.65181,-0.48869,-0.52716,1
"1238",-0.88728,2.808,-3.1432,-1.2035,1
"204",4.1757,10.2615,-3.8552,-4.3056,0
"1314",-1.5078,-7.3191,7.8981,1.2289,1
"673",2.3164,-2.628,3.1529,-0.08622,0
"699",3.2403,-3.7082,5.2804,0.41291,0
"165",4.8851,1.5995,-0.00029081,1.6401,0
"78",0.049175,6.1437,1.7828,-0.72113,0
"1305",-5.2943,-5.1463,10.3332,-1.1181,1
"68",2.4235,9.5332,-3.0789,-2.7746,0
"1063",-0.11716,0.60422,-0.38587,-0.059065,1
"65",5.4021,3.1039,-1.1536,1.5651,0
"1288",-3.9933,2.6218,0.62863,-1.1595,1
"66",2.5367,2.599,2.0938,0.20085,0
"923",-1.4174,-2.2535,1.518,0.61981,1
"1365",-2.8391,-6.63,10.4849,-0.42113,1
"556",2.2893,3.733,0.6312,-0.39786,0
"939",-4.3773,-5.5167,10.939,-0.4082,1
"921",-5.4808,8.1819,0.27818,-5.0323,1
"983",-3.518,2.8763,0.1548,-1.2086,1
"18",0.80355,2.8473,4.3439,0.6017,0
"1355",-3.3924,3.3564,-0.72004,-3.5233,1
"130",3.4663,1.1112,1.7425,1.3388,0
"161",5.0452,3.8964,-1.4304,0.86291,0
"825",-0.4294,-0.14693,0.044265,-0.15605,1
"159",2.2634,-4.4862,3.6558,-0.61251,0
"503",2.0051,-6.8638,8.132,-0.2401,0
"999",-3.0866,-6.6362,10.5405,-0.89182,1
"279",0.89566,7.7763,-2.7473,-1.9353,0
"46",-0.7869,9.5663,-3.7867,-7.5034,0
"1158",-5.2049,7.259,0.070827,-7.3004,1
"405",0.3798,0.7098,0.7572,-0.4444,0
"1335",-1.0833,-0.31247,1.2815,0.41291,1
"298",1.2706,8.035,-0.19651,-2.1888,0
"872",-0.75793,2.5349,-3.0464,-1.2629,1
"943",-3.3793,-13.7731,17.9274,-2.0323,1
"593",0.95626,2.4728,4.4578,0.21636,0
"1213",-2.456,-0.24418,1.4041,-0.45863,1
"1117",-0.49948,1.7734,-2.2469,-0.68104,1
"1093",-1.5572,-9.8808,8.1088,-1.0806,1
"988",-0.55648,3.2136,-3.3085,-2.7965,1
"480",2.0962,2.4769,1.9379,-0.040962,0
"1146",-2.3221,-9.3304,9.233,-0.79871,1
"1144",-2.4621,2.7645,-0.62578,-2.8573,1
"522",0.81356,9.1566,-2.1492,-4.1814,0
